price,bedrooms,dwell_type,street,neighborhood,furniture,title,square_feet,cityname,state
685,1,Apartment,"115 w loudon ave #j074-j74, lexington, ky 40508",Lexington,Unfurnished,"115 w loudon ave #j074-j74, lexington, ky 40508$685/mo1 bd1 ba408 sqft - apartment for rentshow more",408,lexington,KY
800,1,Apartment,"445 davidson ct #d, lexington, ky 40508",Northside District,Unfurnished,"445 davidson ct #d, lexington, ky 40508$800/mo1 bd1 ba536 sqft - apartment for rentshow more",536,lexington,KY
800,1,Apartment,"1854 augusta drive - 32, 1854 augusta dr, lexington, ky 40505",Eastland Parkway,Unfurnished,"1854 augusta drive - 32, 1854 augusta dr, lexington, ky 40505$800+/mo1 bd1 ba650 sqft - apartment for rentshow more",650,lexington,KY
800,1,Apartment,"1715 hill rise dr #1, lexington, ky 40504",Lexington,Unfurnished,"1715 hill rise dr #1, lexington, ky 40504$800/mo1 bd1 ba900 sqft - apartment for rentshow more",900,lexington,KY
800,1,Apartment,"921 n broadway apt 2, lexington, ky 40505",Lexington,Unfurnished,"921 n broadway apt 2, lexington, ky 40505$800/mo1 bd1 ba608 sqft - apartment for rentshow more",608,lexington,KY
800,1,Apartment,"1280 centre pkwy #b, lexington, ky 40517",Southeastern Hills,Unfurnished,"1280 centre pkwy #b, lexington, ky 40517$800/mo1 bd1 ba750 sqft - apartment for rentshow more",750,lexington,KY
850,1,Apartment,"2085 fontaine, 2085 fontaine rd apt 15, lexington, ky 40502",Lexington,Unfurnished,"2085 fontaine, 2085 fontaine rd apt 15, lexington, ky 40502$850/mo1 bd1 ba500 sqft - apartment for rentshow more",500,lexington,KY
850,2,Apartment,"2101 fontaine rd unit 8, lexington, ky 40502",Lexington,Unfurnished,"2101 fontaine rd unit 8, lexington, ky 40502$850/mo2 bds1 ba780 sqft - apartment for rentshow more",780,lexington,KY
600,5,Apartment,"1441 e 25th st #6, los angeles, ca 90011",South Los Angeles,Unfurnished,"1441 e 25th st #6, los angeles, ca 90011$600/mo5 bds3 ba1,000 sqft - apartment for rentshow more",1000,los angeles,CA
700,1,Apartment,"Orion 668 28th, 668 w 28th st, los angeles, ca 90007",South Los Angeles,Furnished,"Orion 668 28th, 668 w 28th st, los angeles, ca 90007$700+/mo1 bd1 ba200 sqft - apartment for rentshow more",200,los angeles,CA
1000,1,Apartment,"Ecco on 1254, 1254 w 36th st, los angeles, ca 90007",South Los Angeles,Furnished,"Ecco on 1254, 1254 w 36th st, los angeles, ca 90007$1,000+/mo1 bd1 ba250 sqft - apartment for rentshow more",250,los angeles,CA
1125,1,Apartment,"1151 w 30th st #c1, los angeles, ca 90007",South Los Angeles,Unfurnished,"1151 w 30th st #c1, los angeles, ca 90007$1,125/mo1 bd1 ba350 sqft - apartment for rentshow more",350,los angeles,CA
